Org Comment,ISBN,Title,Author,Edition,Copyright,Publisher
DOC done,9781882289592,Social Change: Anthology,Friedenfels,,1998,Rowman
Master PDF and RTF; DOC done,9781882883301,Therapy Techniques: Using the Creative Arts,Nathan and Mirviss,1st,1998,"Idyll Arbor, Inc."
DOC done,9781883982164,Common Fields,"Hurley, Andrew",,1997,Missouri Historical Society Press
Book not listed in the course folder,9781887208048,When Corporations Rule the World,"Korten, David C",2nd,2001,Berrett-Koehler Publishers
Book already there,9781888222890,Interpreters and Translators in Communication Diso,"Langdon, Henriette W.",,2002,Super Duper Publications
Book already there,9781888996623,Daphne's Lot,"Albani, Chris",1st,2003,Red Hen Press
Book already there,9781891792045,Racial Inequity in Special Education,Losen & Orfield,Paper,2002,Harvard Education Press
Book already there,9781892132512,Programming for Parks: Servant Leadership Approach,"Jordan, DeGraaf",2nd,2005,"Venture Publishing, Inc."
Book already there,9781931719520,Gender Inequality,"Lorber, Judith",,,Roxbury Publishing Company
Book already there,9781933116020,"INTELLIGENCE: FROM SECRETS TO POLICY, Part 10","Lowenthal, Mark",3rd,2005,CQ Press - Congressional Quarterly
Book already there,9781933286099,Harnessing Foreign Direct Investment for Dev,"Moran, Theodore H.",,2006,Center for Global Development
Book not listed in the course folder,281000000866B,Traveler's Rights: Your Legal Guide to Fair Treatm,"Anolik, Alexander",2nd,2009,ANOLIK LAW CORP
"PDF,DOC,MP3 done",281000000945B,Developmental  Guidelines for infants with visual impairment,A. Lucek,,2009,American Printing House for/blind
"PDF, TIF done",281000001076B,BIOL 330 Lecture Guide 2011,Moffatt,,2011,EDAN
Book already there,B005HTHCGY,"BRAILLE CODES AND CALCULATIONS(BCC2)
BRAILLE CODES and CALCULATIONS(BCC2)",PESAVENTO,,,Exceptional Teaching Aids
"DOC, PDF, TIF done",281433307420B,SPED 751 Curriculum and Instruction for Learners with Visual Impairments,STAFF,,2008,Campus Copy Center
"Master PDF; DOC, PDF, TXT done",281433307425B,Children Learning Language,Prinz,1,2011,Campus
PDF done,281433307973B,PHIL 110 Essentials of Critical Thinking,Royse,,,bookstore
PDF done,281433308007B,Anatomy Laboratory Exercises,"Williams, Stanely",11,2010,sfsu
"Master PDF, DOC done",281433308056B,Small Boat Sailing,,,,Campus Copy
"PDF, DOC done",281433308291B,BUS 859 Course Reader,Baack,,,SFSU Bookstore
"Master PDF; DOC, PDF done",281433308483B,SPED 763 Readings,Doering,,,CAMPUS COPY CENTER
DOC done,9780141181271,Quicksand,Nella Larsen,,2002,Penguin Books
DOC done,9780684829463,Dora An Analysis of a Case of Hysteria,Sigmund Freud,1st,1997,Simon & Schuster
course folder missing,433305401B,Legal and Ethical Issues: Best Practices,"Benitez, Jensen",,2005,California Association of Marriage and Family Therapists
PDF done,9780130920003,Discrete Mathematics With Graph Theory,Edgar G. Goodaire,2,2002,Prentice Hall
Problem: different e-reserve materials,4444444,E-Reserve,,,,
Problem: different e-reserve materials,44444444,E-Reserve,,,,
"DOC, PDF, Mp3",59420ZAP,Use of the Cranmer Abacus,Livingston,,,
"PDF,KES,DOC only page 123-134",773460101,Scholarly Studies in Harry Potter,"Hallett, W. Cynthia",,2005,Edwin Mellen Press
Book not listed in the course folder,777777777,Research Paper,,,,
DOC done,9780824814120,Unwrapping Japan,"Eyal Ben-Ari, Brian Moeran & James Valentine",1,1990,Manchester University Press
DOC done,8460856,"Common Sense, Rights of Man",Paine,,,Penguin
"Master PDF; DOC, MP3 done",85070000,Developmental Guidelines for Infants with Visual I,"Lueck, Amanda",,1997,"American Printing House for the Blind, Inc"
Problem: different ilearn materials,888888,iLearn Material,,,,
"RTF,DOC,MP3, KES done",9780890420249,Diagnostic and statistical manual of mental disorders: DSM-IV-TR.,American Psychiatric Association,4,2000,American Psychiatric Pub
"DOC, no FM, EM",921108546,Workers Without Frontiers,,,,
Book already there,9780029019863,Negotiating Rationally,"Bazerman, Neale",,,Free Press
Book already there,9780060838584,Fast Food Nation w/ Updated Afterword,Schlosser,Paperback,2002,Harper Perennial
Book already there,9780060838652,A People's History of the United States,Howard Zinn,,2005,Harper Perennial Modern Classics
Book already there,9780060891541,On Writing Well: 30th anniversary,William Zinsser,30th aniv,2006,Harper
Book already there,9780060958343,Love's Executioner: and Other Tales of Psychotherapy,Irvin D. Yalom,,1989,Harper Perennial
Book already there,9780060964313,A Short History of Reconstruction,"Foner, Eric",,1990,Harper Collins
Book already there,9780060973896,Lakota Woman,"Dog, M. C",,1990,Harper Perennial
Book already there,9780061479663,"How Sex Works: Why We Look, Smell, Taste, Feel and","Moalem, Sharon",1,2010,Harper Perennial
Book already there,9780061660184,THE WORLD'S RELIGIONS,"SMITH, HUSTON",50th anni,,HARPERONE
Book already there,9780061707803,Sex at Dawn: The Prehistoric Origins of Modern Sexuality,Christopher Ryan,,2010,HarperCollins
Book already there,9780073404905,Employee Training and Development,"Noe, Raymond Andrew",4th,2006,McGraw-Hill Education Singapore
Book already there,9780071629690,"How Risky Is It, Really?: Why Our Fears Don't Always Match the Facts",David Ropeik,,2010,McGraw-Hill Professional
Book already there,9780072551600,STATISTICS FOR Engineers and Scientists,"Navidi, William",1st,2006,McGraw Hill Higher Education
Book already there,9780072855357,"Social Conflict: Escalation, Stalemate, and Settleme",Pruitt Dean,3,2003,McGraw
Book already there,9780072881462,Perspectives in Business Ethics,Hartman,3,2004,McGraw-Hill/Irwin
Book already there,9780072887181,Introduction To Women's Studies Gender,"Grewal, Inderpal",2nd,2005,McGraw-Hill Higher Ed
Book already there,9780073026602,Coping with Stress in a Changing World,"Blonna, Richard",4th,2007,McGraw Hill
Book already there,9780073048598,Chemistry: the molecular nature of matter and change,Martin S. Silberberg,5,2009,McGraw-Hill
Book already there,9780073126548,How to Design and Evaluate Research in Education with PowerWeb,Fraenkel,6th,2005,McGraw Hill
Book already there,9780072887679,Psychological Testing and Assessment: An Introduction To Tests and Measurement,Cohen,6th,2004,McGraw Hill
Master DOC & PDF,9780072880083,Discrete Mathematics and Its Applications,Kenneth Rosen,6,2007,McGraw-Hill
Master KES,9780073230610,Principles of Macroeconomics,"Robert Frank, Ben Bernanke",3,2006,McGraw-Hill/Irwin
Master PDF,9780073050898,"Principles of environmental science: inquiry & applications, Volume 1","William P. Cunningham, Mary Ann Cunningham",4th,2007,McGraw-Hill Companies
Master DOC,9780073535067,Film Art: An Introduction,David Bordwell,8th,2008,McGraw-Hill Humanities
Book already there,9780073320212,Principles of Marketing for San Francisco State,Robertson,,,Unknown
Master PDF; MP3 incomplete,9780073531915,Life-Span Development,SANTROCK,11,2008,McGraw-Hill
Book already there,9780071222051,Statistics for Engineers and Scientists,"Navidi, William",3,2010,McGraw-Hill Science
Book not listed in the course folder,9780073378107,Vander's Human Physiology: The Mechanisms of Body Function,Eric Widmaier,12th,2010,Mcgraw-hill Professi
Book already there,9780073379616,Managerial Accounting - 13th ed,"Brewer, Garrison, Noreen",13th,2009,McGraw Hill Irwin
Book already there,9780073380056,The Meaning of Difference (P),Rosenblum,5th,2008,McGraw-Hill Humanities/Social Sciences/Languages
Book already there,9780073380063,Reconstructing Gender: A Multicultural Anthology,"Disch, Estelle",5th,2008,McGraw Hill
Book already there,9780073380087,Social Construction of Difference and Inequality,Tracy E. Ore,4,2008,McGraw Hill
Book already there,9780073381244,CRAFTING and EXECUTING STRATEGY,"Thompson, Arthur et als.",16,2008,McGraw-Hill Higher Ed
Book already there,9780073382296,Financial Markets and Institutions,"Saunders, A; Cornett, M",,2008,McGraw Hill
"DOC, MP3, PDF",9780073382302,Fundamentals of Corporate Finance - Sixth Edition,"Brealey, Myers, and Marcus",6th,2009,McGraw Hill
"DOC, KES",9780073135236,Effective Group Discussion: Theory and Practice,Galanes & Adams,12,2006,McGraw Hill
"MP3, PDF, DOC, TXT (some missing)",9780070384293,Film History: An Introduction,"Thompson, Bordwell",2,2003,McGraw-Hill
Book already there,9780073402932,Corporate Information Strategy and Management: Text and Cases,"Applegate, Austin, Soule",8th,2008,McGraw-Hill/Irwin
Book already there,9780073403915,"Power and Choice: An Introduction to Political
cal","Shively, W. Phillips",11th,2007,McGraw-Hill Humanities
Book already there,9780073404714,Essentials of Marketing: A Marketing Strategy Plan,"Perreault, William",11,2008,McGraw-Hill Higher Education
Book already there,9780073404998,Managing Organizational Change: A Multiple Perspectives Approach,Ian Palmer,2,2008,McGraw-Hill Irwin
Book already there,9780073405100,Principles of Corporate Finance,"Brealey, Myers, Allen",9,2008,"McGraw-Hill
McGraw-Hill"
Book already there,9780073405131,Essentials of Corporate Finance,Ross,6,2007,McGraw-Hill/Irwin
Book already there,9780071315036,Broadcasting Cable the Internet and Beyond: An Introduction to Modern Electronic Media,Joseph Dominick,7th,2011,"McGraw-Hill Companies,Inc."
Book already there,9780073515007,Taking Sides: Clashing Views in Special Ed,Byrnes,3  edition,2006,McGraw-Hill/Dushkin
Book already there,9780073515106,Taking Sides: Clashing Views on Psychological Issu,"Slife, Brent",15th,2007,McGraw-Hill
Book already there,9780073515243,Taking Sides: Clashing Views In Mass Media and Socie,Hanson & Alexander,10,2008,McGraw-Hill Professional
Book already there,9780073525969,How to Design and Evaluate Research in Education,Fraenkel,7th,2009,McGraw
Book already there,9780073527093,Financial Reporting and Analysis,Lawrence Revsine,4,2008,McGraw-Hill/Irwin
PDF complete; DOC & MP3 missing EM & FM,9780071101028,"Business and Society: Stakeholders, Ethics, Public Policy",Lawrence & Weber,12th,2008,McGraw-Hill
Book already there,9780073534640,California: An Interpretive History,"Rawls, James",9,2006,McGraw-Hill
Book already there,9780075536604,Six Modern American Plays,"Halline, Allan",1,1996,McGraw-Hill Humanities/Social Sciences/Languages
"Master PDF, DOC",9780073049625,Vander's Human Physiology: The Mechanisms of Body,"Widmaier, Eric",11th,2007,McGraw-Hill Science/Engineering/Math
complete DOC & PDF,9780073381176,Marketing,Grewak and Levy,1st,2008,McGraw Hill Irwin
Book not listed in the course folder,9780077266035,Microbiology: A Systems Approach,Marjorie Kelly Cowan,2,2009,McGraw-Hill
Book already there,9780073382357,Fundamentals of Investments,Bradford Jordan,5,2008,McGraw-Hill/Irwin
Book already there,9780073380780,Core Concepts in Health,Insel,11,2009,McGraw-Hill
Book already there,9780078026645,"The Social Construction of Difference and Inequality: Race, Class, Gender and Sexuality",Tracy Ore,5th,2010,"McGraw-Hill Companies,Inc."
Book already there,9780078026652,Classical Sociological Theory,"Ritzer, G",6,2011,McGraw Hill
Book already there,9780078050039,Taking Sides: Clashing Views in Special Education,Taking Sides: Clashing Views in Special Education,5,2010,McGraw-Hill
Book already there,9780078050863,Annual Editions: Aging 11/12,Harold Cox,24,2011,"McGraw-Hill Companies,Inc."
Book already there,9780071315180,How to Design and Evaluate Research in Education,Jack Fraenkel,8,2011,"McGraw-Hill Companies,Inc."
"PDF done; MP3,DOC incomplete",9780078137150,BUSINESS and SOCIETY,LAWRENCE,13,,McGraw-Hill
Book already there,9780078139420,Taking Sides: Clashing Views on Psychological Issues,Brent Slife,16,2009,McGraw-Hill
Book already there,9780123744937,Computer Organization and Design,David A. Patterson,4,2008,Morgan Kaufmann
DOC & PDF done,9780125644310,Psychiatric rehabilitation,Carlos W. Pratt,2,2007,Academic Press
Book already there,9780130081575,ESSENTIALS OF GEOLOGY,"Lutgens, Frederick",8th,2002,Prentice Hall
Book already there,9780130257130,Writing with Style: Conversations on the Art of Wr,"Trimble, John R.",2nd,2000,Prentice Hall
Book already there,9780130308016,International Business: Environments and Operation,"John Daniels, Lee Radebaugh",9th,2000,Prentice Hall
Book already there,9780130358592,Color: the secret influence,Kenneth Fehrman,2,2004,Prentice Hall
Book not listed in the course folder,9780130694355,The Basic Theory of Corporate Finance,Kenneth J. Boudreaux,,1977,Prentice Hall
Book already there,9780130815422,Biostatistical Analysis,Jerrold H. Zar,4th,1998,Prentice Hall
Book already there,9780131008472,Fishes: An Introduction to Ichthyology,"Moyle, P. and Cech, J.",5th,2003,Benjamin Cummings
Book already there,9780131008793,International Organizational Behavior,"Francesco, Anne Marie",2nd,2004,Prentice Hall
Book already there,9780131016064,"Knowledge Management: Challenges, Solutions, and Technologies",Fernandez,,2004,Pearson - Prentice Hall
DOC & PDF done,9780131293335,Children's Thinking,"Siegler, Robert S.",4th,2004,Prentice Hall
Already Organised,9780131175716,Special education law,Nikki L. Murdick,2,2006,Pearson/Merrill Prentice Hall
Already Organised,9780131453067,Principles of Biochemistry,Robert Horton,4th,2005,Prentice Hall
DOC and TXT incomplete,9780131461062,International business: environments and operations,John D. Daniels,10,2004,Prentice Hall
Incomplete: Files in EM and FM don't match,9780131476059,Principles of Biochem Student Companion,,4,2005,Pearson Higher Education
Organised,9780131481244,Human Biology,Belk,,2009,Pearson
Already Organised,9780131485419,Art and Science of Leadership,Afsaneh Nahavandi,4th,2005,Prentice Hall
Already organised,9780130463333,Laboratory Manual in Physical Geology,American Geological Institute,6,2002,Prentice Hall
Already organised,9780131536319,"Physics, Volume 1",James S. Walker,3,2007,Pearson Prentice Hall
Already organised,9780131554580,"Comparative asian Politics: Power, Policy, and cha",Wang,FACSIMILE,1994,Prentice Hall
Already organised,9780131568532,Foods: experimental perspectives,Margaret McWilliams,6,2008,Pearson Prentice Hall
Already organised,9780131720237,Methods for teaching culturally and linguistically diverse exceptional learners,John J. Hoover,1,2008,Pearson/Merrill Prentice Hall
Organised,9780131738607,"International Business: Strategy, Management, and","Cavusgil, Knight, Riesenberger",,2007,Pearson
Already organised,9780131871410,Elementary Linear Algebra,Lawrence Spence,2,2007,Prentice Hall
Already organised,9780131930339,Chinese Link: Zhongwen Tiandi,Sue-mei Wu,,2005,Prentice Hall
Already organised,9780132080231,Microeconomics,"Pindyck, Rubenfield",7,2009,Pearson/Prentice Hall
Already organised,9780132230452,Conceptual Skills for Mental Health Professionals,"Seligman, Linda",1st,2008,Prentice Hall
Already organised,9780132239684,"Words Their Way: Word Study for Phonics,","Bear, Donald R.",4th ed,,Prentice Hall
Already organised,9780132275842,Evolutionary Analysis,"Freeman, Scott",Hardcover,2007,Benjamin Cummings
Already organised but does not exist in F10,9780132288064,"Automata, Computability and Complexity",Rich,1,2007,Prentice Hall
Already organised,9780132299398,Brand You: Marketing: Real People Real Choices,"Solomon, Michael",2nd,2008,Pearson; Prentice Hall
don't have the book,9780132354769,Core Java: SE 6,Horstman,8,2008,Prentice
Already organised,9780132359788,Abnormal Child and Adolescent Psychology,"Wicks-Nelson, Rita; Israel, Allen C.",7th,2008,Prentice Hall
Already organised,9780132379403,Changing Society: Readings for the Engaged Writer,Jerome Schwab,,2009,Pearson Education Canada
Already organised but no job,9780132382458,Social Psychology,Elliot Aronson,6,2006,Prentice Hall
Organised but needs zoning and editing,9780132397346,Student Solution Manual Elementary Linear Algebra,Spence,2nd,2007,Prentice Hall
Already organised,9780132437158,Information Systems Management,McNurlin;Sprague,8,2009,Pearson
No materials,9780132458962,Microsoft Office Access 2007 Vol1,Robert T. Grauer,,,Pearson
Already organised,9780132544580,The Art and Science of Leadership,: Afsaneh Nahavandi,6,,Prentice Hall
Already organised,9780132626019,Meeting the needs of students with special physical and health care needs,Jennifer Leigh Hill,,1999,Merrill
Doesn't exist in F10,9780135008201,Introduction to Foodservice,"Palacio-Payne, Theis",11th,2008,Prentice
Already organised,9780131190764,Literacy for the 21st Century: A Balanced Approach,"Tompkins, Gail E.",4th,2009,Prentice Hall
Organised,9780136003915,Modern Database Management (9th Edition),Hoffer,9,2008,Prentice Hall
Organised,9780136005988,Geosystems (With CD),Robert Christopherson,7,2008,Prentice
Organised,9780136020608,Structural Analysis,R.C. Hibbeler,7,2009,Pearson Prentice Hall
Organised,9780136025795,Essentials of Management Information Systems,"Laudon, Jane; Laudon, Kenneth",8,,Pearson
Organised,9780136041405,Strategy: View  from the Top,Cornelis A. Kluyver,4,,Prentice Hall
Organised,9780136121565,Multinational Business Finance,"Eiteman, D; Stonehill, A; Moffett, M",12,2009,Addison Wesley
DNE,9780136026679,Framework for Marketing Management Value,"Kotler, Keller, Wood",4E,2008,Prentice Hall
Organised,9780205571123,Reading and Learning to Read,"Vacca, Jo Anne L.",7th,2008,Allyn & Bacon
Organised,9780137612895,The Cold War: A History Through Documents,"Judge, Edward H.; Langdon, John W.",1,1998,Prentice Hall
Organised,9780138014919,Macroeconomics,Robert J. Gordon,12,2011,Pearson EducationLimited
Organised,9780138144586,Adolescence and Emerging Adulthood: A Cultural Approach,,4th,2009,Prentice Hall
Organised,9780345350688,The Autobiography of Malcolm X: As Told to Alex Haley,Malcom X,,1987,Ballantine Books
Organised,9780140132311,How to Watch TV News,Postman & Powers,,1992,Penguin
Organised,9780140157352,Getting to Yes,Roger Fisher,,,Penguin (non-classics)
Organised,9780140166644,Europe in the High Middle Ages,William Chester Jordan,1,2002,Penguin
PUB file and one complete DOC file,9780140184570,The Gods Will Have Blood,France & Davies,,1990,Penguin Classics
one complete DOC file,9780140440737,The Life of Saint Teresa of Avila by Herself,"Avila, Teresa of",,1988,Penguin Classics
Book already there,9780140442304,"The romance of Tristan: and, The tale of Tristan's madness",Beroul,,1970,Penguin
Book already there,9780140443974,Early Irish myths and sagas,Jeffrey Gantz,,1981,Penguin
DOC & PDF done; Master KES,9780140445923,The Illiad,Fagles,,,Penguin Classics
Book already there,9780140447590,The Lais of Marie de France,Marie de France,2,1999,Penguin Classics
Book already there,9780140448993,LETTERS OF ABELARD and HELOISE,"Abelard, P.; Heloise",,2004,Penguin USA
Book already there,9780140449044,Gorgias,Plato,,2004,Penguin
Book already there,9780140449983,Chronicles of the Crusades,Jean de Joinville,1st,2009,Penguin Classics
Book already there,9780140455113,Plato - The Republic,"Lane, Lee",2,2001,Penguin
Book already there,9780140455304,The Tain,Ciaran Carson,,2009,Penguin
DOC & KES done,9780141441948,Under Western Eyes,Joseph Conrad,,2007,Penguin Classics
DOC done,9780142002100,American Colonies,"Taylor, Alan",,2002,Penguin
DOC & TIF done,9780142437261,The Scarlet Letter,Nathaniel Hawthorne,,2002,Penguin Classics
"DOC, KES, PDF, & TIF done",9780143038580,The Omnivore's Dilemma,Michael Pollan,,2007,Penguin USA
"RTF, MP3 done",9780143039952,The Odyssey,Fagles,,,Penguin Classics
DOC & KES done,9780143105565,The Human Factor,Graham Greene,1,2008,Penguin Classics
Course DNE,9780143114932,Gang Leader for a Day: A Rogue Sociologist Takes t,"Venkatesh, Sudhir",,2008,Peguin
"DOC, PDF, & TIF done",9780143114956,The How of Happiness,Lyubomirsky,,2008,Penguin
Course DNE,9780155076846,"The Modern World Classics of Western Thought, Vol3","Knoebel, Edgar E.",4th,1988,Wadsworth Publishing Cengage
Course DNE,9780156000130,The sisters Rosenweig,Wendy Wasserstein,,1994,Mariner Books
Master DOC,9780156028356,The Color Purple,"Walker, Alice",1st,1982,"Harcourt, Inc"
Book DNE,9780156364652,A Good Man is Hard to Find (HBJ),Oconnor,1,1977,Harvest
"DOC, KES, PDF done; Master TIF",9780156539128,The lover,Abraham B. Yehoshua,,1993,Houghton Mifflin Harcourt
Missing Ch 1 (DOC),9780195632088,The Essential Writings of Mahatma Gandhi,"Gandhi, Mahatma",,1993,Oxford University Press
Master TXT,9780192838995,Eugene Onegin: A Novel in Verse,"Pushkin, Alexander",,1988,Oxford University Press
Course DNE,9780194302159,Person to Person: Communicative Speaking and Listening Skills,"Richards, Jack C; Bycina, David; Wisniewska, Ingri",3rd,2005,Oxford University Press
Book already there,9780194417082,Lecture Ready 2 Student Book with DVD,Peg Sarosy,1,2006,"Oxford University Press, USA"
PDF done,9780195040395,Disorderly Conduct,Smith-Rosenberg,,1985,Oxford
DOC done,9780195078060,Rivers of Empires,Worster,,1992,Oxford University Press
KES done,9780195096484,Becoming Mexican American,Sanchez,,1995,Oxford
DOC & PDF done,9780195107715,Complex Cognition: The Psychology of Human Thought,"Sternberg, Zeev",,2001,Oxford University Press
Course DNE,9780195118032,Life in Black and White,Stevenson,,1996,Oxford
Book DNE,9780195118056,The Origin of Everyday Moods,Robert E. Thayer,,1996,Oxford University
KES & TIF done,9780195123777,The Writing Teacher's Sourcebook,Edward Corbett,4,1999,
Book DNE,9780195130331,Critical thinking: an introduction to analytical reading and reasoning,Larry Wright,1,2001,Oxford University Press
DOC done,9780195145885,Dred Scott Case,Don E. Fehrenbacher,,2001,Oxford University Press
PDF done; Master DOC,9780155031715,Simple Logic,,,1999,Harcourt Brace College
PDF done; Master DOC,9780195155976,Travel Narratives from the Age of Discovery,"Mancall, Peter",,2006,Oxford University Press
DOC & PDF done,9780195156324,Brown v. Board of Education: A Civil Rights Milest,James T. Patterson,,2002,Oxford University Press
RTF & TIF done,9780195159820,Women's America: Refocusing The Past,Linda K. Kerber,6,2003,Oxford University Press
Master DOC & PDF,9780195162189,Under the Cope of Heaven,"Bonomi, P.",2003,,Oxford University Press
Master DOC & PDF,9780195168952,Battle Cry for Freedom,"McPherson, J.",1,2003,Oxford University Press
Book already there,9780195179569,Writing Philosophy: A Student's Guide,"Vaughn, L",,2005,Oxford University Press
DOC done,9780195181319,Marketplace of Revolution,T. H. Breen,,2005,Oxford
Book DNE,9780195189773,The Undercover Economist: Exposing why the Rich,Tim Harford,,2005,Oxford University Press
DOC done; Master PDF,9780195306651,Taming Democracy,"Bouton, Terry",,2007,Oxford University Press
PDF & ePUB done,9780195326949,"Marine Biology: Function, Biodiversity, Ecology",Levinton,3,,Oxford University Press
DOC missing EM; incomplete KES,9780195332438,Social Theory: Roots and Branches: Readings,Kivisto,3rd,2007,Oxford University Press
PDF done,9780195340556,"The Soviet Experiment: Russia, the USSR",Ronald Suny,2nd,2010,Oxford University Press
"DOC done, MP3 only one chapter",9780195367409,This Land Was Theirs: A Study of Native North Amer,Wendell H Oswalt,9,2008,Oxford University Press
Master PDF; KES done,9780195370454,Voices from the Inside: Readings on the Experience,"Kar, David A.; Gretchen E. Sisson",1st,2009,Oxford University Press
"Master PDF; PDF done, KES missing EM",9780195379594,Interplay: The Process of Interpersonal Comm 11e,Adler; Rosenfeld; and Proctor,11th,2009,Oxford University Press
PDF done,9780195386417,THEORETICAL CRIMINOLOGY,VOLD,6,2010,OXFORD UNIVERSITY PRESS
DOC & PDF done,9780195784060,POVERTY and DEVELOPMENT,Graff,,2004,Oxford University Press
Book already there,9780198279495,Multicultural citizenship: a liberal theory of minority rights,Will Kymlicka,,1995,Clarendon Press
Book already there,9780199218783,The Mabinogion,Sioned Davies,,2008,Oxford University Press
"DOC, KES, PDF done",9780199278084,The New Imperialism,"Harvey, David",,2005,Oxford University Press
DOC done,9780199285433,Introduction to International Relations: Theories,Robert Jackson,3rd,2007,Oxford University Press
PDF done,9780199539161,Kamasutra,Mallanga Vatsyayana,,2009,Oxford University Press
Book already there,9780199549856,Tales of the Elders of Ireland,Ann Dooley,,2008,Oxford University Press
Book already there,9780199580439,Is There a God?,Richard Swinburne,2,2010,Oxford University Press US
Book not listed in the course folder,9780199581993,Globalizing Justice,Miller,,2010,Oxford University Press
"DOC, PDF, KES done",9780199740079,"Human Behavior and the Social Environment, Micro Level: Individuals and Families",Katherine S. Van Wormer,2nd,2010,Oxford University Press
"DOC, PDF, KES done",9780199740574,"Human Behavior and the Social Environment, Macro Level: Groups, Communities, and Organizations",Katherine Van Wormer,2nd,2010,Oxford University Press
DOC done,9780201591514,Authentic Assessment for English Language Learners,"O'Malley, J. Michael",1st,1996,Addison Wesley (Pearson)
PDF done,9780201612738,Understanding Object-Oriented Programming,budd,updated,1999,Addison Wesley
TIF done,9780201709452,Software Quality Assurance: From Theory to Implementation,Galin,,2003,Addison Wesley
DOC & PDF done,9780201898286,Manifesto for a New Medicine,James Gordon,,1997,De Capo Press
"Master PDF, DOC done",9780415342087,International Relations Theory,Cynthia Weber,2,2005,Psychology Press
Master PDF; DOC & KES done,9780205001910,Social Welfare: A History of the American Response to Need,Mark J. Stern,8th,2011,Allyn & BaconIncorporated
Master PDF; DOC & KES done,9780205012466,Connecting Core Competencies: A Workbook for Social Work Students,Quienton Nichols,,2010,Pearson EducationUnlimited
DOC & KES done,9780205198269,Investigating communication: an introduction to research methods,Lawrence R. Frey,2nd,2000,Allyn and Bacon
"Master PDF; PDF, KES, MP3 done",9780205313426,Elements of Style,"Strunk, William Jr.",4,2000,Allyn and Bacon
DOC & PDF done,9780205318797,MULTICULTURAL ISSUES IN THE CRIMINAL JUSTICE,Tarver,,2001,PEARSON
DOC & PDF done,9780205342754,Chemical Dependency: A Systems Approach,"McNeece, A.C.",3rd,2005,Pearson Education
Book already there,9780205508303,Educational Research: Fundamentals,McMillan,5,2008,Pearson/Allyn and Bacon
course folder missing,9780205386628,"Diversity, Oppression, and Social Functioning: Per","Appleby, George A.",2nd,2007,Allyn & Bacon
DOC & TXT done,9780205407415,GLOBAL PROBLEMS and CULTURE OF CAPITALISM,"Robbins, Richard",3rd,2004,Allyn & Bacon
DOC & PDF done,9780205453733,Joining Together,Johnson,9th,2007,Pearson
Master PDF,9780205688425,"The Rich Get Richer and the Poor Get Prison: Ideology, Class, and Criminal Justice",REIMAN,9,2010,Allyn & Bacon
KES & PDF done,9780205360123,Introduction to Communication Disorders: A Life Span Perspective,Owens,2,2002,Allyn & Bacon
"MP3 & PDF done, DOC incomplete",9780205501793,Social Work Practicum,Cynthia L. Garthwait,4th,2006,Allyn & Bacon
Master PDF; DOC & KES done,9780205520978,Human Behavior and the Social Environment: Shifting Paradigms in Essential Knowledge,Joe M. Schriver,5th,2010,Allyn & Bacon
PDF done,9780205545506,Clinical Social Work Practice: An Integrated Appro,"Cooper, Marlene G.; Lesser, Joan Granucci",3rd,2007,Allyn & Bacon
Master DOC,9780205551033,Backpack Literature,Kennedy & Gioia,2nd,2008,Pearson Longman
DOC & KES done,9780205568284,Terrorism and Counterterrorism: Understanding,"Nacos, Brigitte",2nd,2006,Pearson - Longman
Master PDF,9780205571901,Child Welfare and Family Services,Susan Whitelaw Downs,8th,2008,Person Education Inc.
Book already there,9780205578634,Joining Together,David R. Johnson,10,2008,Pearson
Master PDF,9780205581498,"Social Psychology, Twelfth Edition",Robert A. Baron,12th,2008,Allyn & Bacon
"DOC & PDF done, KES missing Ch 1 & 2",9780205593828,An Introduction to Group Work Practice,Toseland,6th,2009,Pearson Education
Book already there,9780205594955,Abnormal Psychology,"Butcher, Mineka, & Hooley",14th,2009,Allyn & Bacon
Master PDF & KES,9780205607648,Language Disorders: A Functional Approach,"Owens, Robert E.",5,2009,Allyn & Bacon
"Master PDF, DOC done, KES incomplete",9780205414079,Voice and Voice Therapy,"Boone, Daniel R.",7,2005,Allyn & Bacon
"Master DOC, MP3 missing EM & FM",9780205624416,Strengths Perspective in Social Work Practice,Dennis Saleebey,5th,2008,Allyn & Bacon
"Master DOC, TXT",9780205275526,Building Inclusive Schools: Tools and Strategies for Success,"Halvorsen, Ann",8,2001,Allyn and Bacon
PDF done,9780205655021,Child Development,Feldmen,5th,2006,Pearson
Book already there,9780205693573,Short History of the French Revolution,"Popkin, Jeremy D.",5th,2009,Prentice Hall
KES & PDF done,9780205748068,Sociology of Mental Disorder (Mysearchlab Serie 8e,Cockerham,8th,2010,Prentice Hall
PDF done,9780205716852,Understanding Public Policy,Dye,13th,2010,Pearson
PDF done,9780205801053,Global Problems and The Culture of Capitalism 5e,Robbins,5th,2010,Pearson (Prentice Hall)
Master PDF,9780205805914,Development Across the Life Span,Robert S. Feldman,6,2010,Prentice Hall
Master PDF; DOC & KES done,9780205838752,Techniques and Guidelines for Social Work Practice,Bradford W. Sheafor,9th,2011,Pearson EducationUnlimited
course folder missing,9780217250269,American Antiquarian Society Proceedings 87,,,,
TXT and MP3 done,9780226041391,Manliness and Civilization,Bederman,,1995,Chicago
Master PDF; PDF,9780226044583,"Temporarily Yours: Intimacy, Authenticity, and the",ELIZABETH BERNSTEIN,1,2007,University of Chicago Press
